marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	47210441	R10SI4BJVGQD5A	B00E6LJ1OA	882911874	Quicken Starter Edition 2	Software	5	0	0	N	N	Always great	Always does what I need it to do.  Never a problem.  Easy to install and easy to update and back-up.	2014-03-05
US	14033385	R23RI25VU4OTMK	B003YJ5E0K	978035146	Quicken Essentials for Mac	Software	1	1	1	N	Y	I gave it one star because zero was not an option-total garbage	Believe the negative reviews, and do not buy this software! I used Quicken 04 for years, and this isn't even close. Yes, it is totally redesigned, but poorly done. Budgeting doesn't compute income as income, you cannot set a budget for only one account, goal setting is non existent, budgets do not get saved and you can't carry over a budget from month to month. This is marketed as basic accounting software, but it doesn't even come close. Read the negative reviews and do not buy this product.	2011-02-28
US	48839143	R1NXPCF9B6WRNC	B0017HO06U	666111213	Still Life	Software	3	3	4	N	Y	Beautiful scenery,  But doesn't offer much else.	First with the good.  The background art is some of the most fantastic art I've personally seen in any game.  The game is set around Christmas time (In the case of Victoria, present day Christmas, in the case of her Grandfather Gus, obviously much earlier).  Delicate snowflakes fall from the sky in outdoor scenes.  You can see individual drops as water flows from a fountain exquisitely depreciated buildings, that themselves even have fabulous artwork hanging on the walls.    Now for the average...The voice acting was lacking.  In some characters, it was downright bad.  In other cases, annoying, and in other cases still puzzling.  One big puzzle is why would some characters; characters that were supposed to be European; have western sounding voices?  I am not saying that I disliked the voice acting.  In many cases, I found the voice work as pleasant to listen to as the scenery was to look at.  My issue with the dialogue is three fold.  One, as I said, was with the accents, many of the characters were supposed to be European, but sounded American.  Two, the dialogue in most cases was just plain bad.  Honestly, in most cases it was drivel.  Lastly, it seemed to me that inflection wasn't quite all there.  At times it seemed as if the emotion that was trying to be conveyed was just falling flat on it's face.    Now, the ugly.  The story was good.  You had serial killings occuring in modern times being investigated by Detective Victoria Mcpherson, these cases are eerily similar to cases investigated by her grandfather Gustav, decades earlier, in Europe.  This in and of itself was interesting.  Unfortunately (Probably to make the game longer) the producers put several inane puzzles that needed to be solved to progress.  Missions that did nothing to progress the game and used vague clues to solve them (See the cookie recipe in other reviews).  This seriously undermined game play and reduced enjoyment significantly.    To make things worse, the controls were at times cumbersome and tedious,  which became a hassle in certain circumstances in which actions must be done in a very specific manner in order to accomplish the job.    Overall I rate this game a C+	2009-01-27
US	43903867	R37DN1QZETZ7LU	B00TKGC15C	923120379	Huff Paranormal SCD1 (Spirit Communications Device), SCD-1	Software	5	3	3	N	Y	Five Stars	Exciting item...	2015-05-22
US	37202254	RF0534QV61MS2	B007YW8VWQ	979545682	MagTek Centurion 21073075 Magnetic Stripe Reader - Triple Track - 1524 mm/s - USB - Black	Software	5	0	0	N	Y	This products installed in minutes and works great.	I plugged it in and restarted machine and it has worked great since then.  I am very happy with this buy!	2013-07-26
US	32182412	R3AOATRILHDFCP	B001C31P4Y	25363063	Bitdefender Total Security 2009 2Yr/3Pc [OLD VERSION]	Software	1	0	0	N	N	Useless Product	I picked this product because of its 3 licenses and two year coverage. I installed it on two computers 1 laptop and 1 Desktop. The desktop locked up and I was forced to rebuild it losing some data in the process. Then I re-installed the software.  BitDefender causes both machines to operate so slowly that I have had to turn it off. I have been unable to get any answer from their support people as to how to resolve this issue. I real wish I would have purchase something else (Micro Trend). The product is useless.	2009-06-25
US	37394135	R5FBJUQ4N4E1W	B0081SSUKK	892851632	Auto FX Software DreamSuite Ultimate - FULL VERSION PRODUCT - Photo Enhancement Software for Mac & Windows	Software	1	8	9	N	N	Not to be trusted as a company or as a technical product	I purchased the Dreamsuite Bundle Photoshop Plugins from autoFx.com years ago for $399 and initially it worked fine.<br /><br />Then I switched to a MAC computer from a Windows and so I download the MAC version which did not work and sat on my desk top for a further two years.<br /><br />Eventually, I contacted the company about 5 times and was ignored for 4 weeks.<br />I was so frustrated with the lack of support and the money I felt I had lost to this company,  that I wrote a blog post much along the same lines as this one.<br /><br />About a week later the CEO emailed me explaining they had recently had a change of management and apologized for the lack of customer support.<br />He was very nice and did all he could to resolve my incompatibility issues and I was delighted to be able to once again use the software I paid for.<br /><br />Some months later, my Operating System was upgraded which is a fairly common occurrence with any computer regardless of whether it's a Windows or a Mac computer.<br />Once again the plugin failed to work.<br /><br />I wrote to the Auto FX customer/ technical support again but this time the reply was not so helpful.<br />In fact, I would go as far as to say the person who replied was quite rude and abrupt.<br /><br />I was &#34;reminded&#34; of how much help I had already received previously and told I would have to pay a further $299 to upgrade my software in order for it to work on my computer as the version I owned and had paid $399 for was now considered &#34;legacy&#34; and was no longer supported by the company.<br /><br />So, the bottom line is this; This plug in series would end up costing me $698 to work, the initial $399 and then a further $299 just to make it work again.<br />How many further 'upgrades' and associated hefty fees would I need to pay when my computers operating system was upgraded in the future?<br /><br />I understand being charged for optional upgrades for software which has been improved or had added features applied to it, but I resent and refuse to pay hundreds of dollars just to be able to continue using software I have already paid hundreds of dollars for!<br /><br />I made an assumption that the plugin would always work, that the $399 I paid to AutoFX.com gave me a license to use that software for as long as I needed it.<br />There certainly was no information or TOS explaining that I would need to pay further fees if the software became incompatible with my computers current operating system.<br /><br />I own thousands of dollars worth of licensed plugins and graphic software on my computer and to date, have only encountered this issue with AutoFX.com<br />Do all graphic software companies do this? In my experience, that depends.<br /><br />For example, I own Filter Forge 4 Professional, Perfect Photo Suite, Substance Designer, Bitmap2Material and others and yes, some of these companies do charge a small fee (Approx $80) when they add additional features to their software.<br />However, I can continue to use the older version and it continues to be supported technically by the company.<br /><br />My Filter Forge is updated all the time as they fix bugs and improve performance and its done with no charge and the same applies to Perfect Photo Suite.<br />Both of which I owned when I was on Windows OS and moved to a MAC OS and neither company charged me to download a compatible version.<br /><br />Personally, I think it's immoral to take hundreds of dollars from people for a piece of software and then demand almost the same amount again just to allow them to continue using what they had paid for, regardless of how long ago that was.<br />$399 is a lot of money by most peoples standards and as it happens for me, I had about 12 months use of that expensive plugin.<br />I have asked for a refund three times and each has been ignored.<br /><br />This morning I downloaded the free demo of their DreamSuite plugin just to see whether it was worth paying the additionalfee to &#34;upgrade&#34;<br />It installed fine and shows in my Photoshop CS6 Filters list but nothing happens when I select it.<br /><br />So in closing and based on my experience, AutoFX.com customer support is terrible, the software reliability is sketchy at best and the company ethics for paying customers is appalling.fee to &#34;upgrade&#34;<br />It installed fine and shows in my Photoshop CS6 Filters list but nothing happens when I select it.<br /><br />So in closing and based on my experience, AutoFX.com customer support is terrible, the software reliability is sketchy at best and the company ethics for paying customers is appalling.	2014-10-09
US	12212742	R3GE22VY1E9D67	B00E6LIEFM	189774198	Quickbooks Pro	Software	4	1	1	N	N	Does everything I need	Quickbooks Pro 2014 does everything I need to do to efficiently and effectively run my small business. As a matter of fact, it does even more that what I use it for. Quickbooks is great and very user friendly.	2014-05-22
US	52027206	R175VI2I3DRYNT	B0001XWNSS	284948032	Art Explosion 800,000	Software	4	1	1	N	N	Best So Far	This is an excellent collection, especially the photos.  The only thing that annoys me is that the National Parks folder doesn't say where exactly the photos were taken (unless you've been to the park, you can't tell one from another).  The same is true for many of the other folders.  China and Africa have a lot of interesting photos, but no descriptions.  I do not want to mis-identify a location on a website.    Please Art Explosion identify the photos within your folders.	2009-02-27
US	40647933	R16WFCGEM0OEB4	B000UJUJ7U	119405381	Roxio Easy Media Creator Suite 10 (OLD VERSION)	Software	2	2	2	N	N	Roxio Creator 10 Suite	[[ASIN:B000UJUJ7U Roxio Easy Media Creator Suite 10]]  I have nothing good to say about this SLOOOOOW product.  Problems with installation - at least Roxio fast answering questions and did try to help. Ended up going to customers to find solution. With 1 gb RAM,I still had time to go get coffee and talk to wife before anything loaded. In three weeks I have been unable to produce anything with this product. Reloaded Creator 7 and I now use 7 instead of 10.	2008-02-08
US	27776529	R28KZO2GW73FDA	B0047UEXP2	71508240	H&R Block At Home 2010 Deluxe Federal + State + eFile	Software	5	0	0	N	Y	works great	works great	2015-05-13
US	45401443	RKXJYO51Z7OZQ	B004D2JONA	685527252	Music Maker 17 [Old Version]	Software	1	0	0	N	Y	Disappointed	I purchased this software because I wanted to add some soft background music to a website for meditation.  I found plenty that could be done if I wanted percussion and drums but the woodwinds sound absolutely horrible.  I could find one flute sound that didn't sound painful.  I was not able to find any instrument that created a soothing sound.  Now I will admit that I have no experience in making music so perhaps I am unaware of how to create what I am looking to create so I won't say the software is junk but I personally am disappointed and must have misunderstood what I would be able to do with the software.  Many of the features are grayed out so perhaps music can be made if the features could actually be used.  I just thought that with over 1500 sounds, there would be at least one soothing creation that could be made.  The other problem I encountered is crashes.  This software crashes often on my computer.  Perhaps Windows 7 isn't the preferred operating system.  For me, I wasted my money.  Luckily it wasn't very expensive.	2012-09-23
US	8958738	R3CT1YTJK29K1K	B00GOUBT6E	312139349	Windows 7 Home Premium SP1 32bit (Full) System Builder DVD 1 Pack	Software	5	0	1	N	Y	Five Stars	Works Great	2015-07-19
US	46021402	R2H0AK0N0YHAJ2	B002NGKLCQ	949937998	Finale SongWriter 2010	Software	5	4	4	N	Y	Finale SongWriter	So far I'm extremely satisfied with SongWriter. The learning curve is pretty steep but much is intuitive. I love the many voices for MIDI and the ease of changing all aspects of a score. I would recommend this to anyone who wants to write music whether professional or amateur.	2011-02-01
US	11735927	R16G936ZY5OGS8	B00EAS14KI	498172870	Pinnacle Systems Dazzle DVD Recorder HD VHS to DVD Converter	Software	2	0	1	N	Y	Two Stars	Not what we thought it was	2015-03-17
US	31449457	R29WJXYJ8I4F94	B00168F6LI	885097951	Clue Classic [Old Version]	Software	4	15	16	N	Y	Exactly what I expected	Great game. Exactly what I expected. Nice that the game actually works with 1 player. Thank you.	2008-11-14
US	38323111	R1TSCU0LR6ORX1	B004PBG8EC	782927735	Microsoft Streets & Trips 2011 [Old Version]	Software	5	0	0	N	Y	GOOD PRODUCT	REPLACED A VERY OLD VERSION OF THIS PROGRAM AND I AM EXTREMELY HAPPY WITH IT, IT DOES EVERYTHING I EXPECTED.  LOADED WITH NO PROBLEMS, CONSTRUCTION UPDATED FINE, AND IS RUNNING GREAT.	2012-07-01
US	46537761	R39BUE4AOCB1PI	B00004T9C7	483803873	Return to Zork (Jewel Case)	Software	2	2	5	N	Y	Really dated graphics, but then it's really old!	Love the ZORK world. Have all of them and have played them.  Like the sense of humor, love the puns.  Remarkably, the text games actually stand the test of time better than Return to Zork with its clumbsy graphics and awkward play.  Sometimes it's better to use one's imagination than to see and be disappointed. The story's still good, tho'	2003-05-07
US	46015050	R3DEQ14Y1GBM3Y	B00M77U1V2	242489943	AVG AntiVirus 2015, 1 User 1 Year	Software	1	0	0	N	Y	Given a refund for my return.	I returned this item and was given a full refund.  Thanks!	2015-06-15
US	23541600	R37HLXU8H4M5JK	B000Q1N7FS	259991967	Zonealarm Internet Security Suite 2007 [OLD VERSION]	Software	1	0	0	N	N	Zone Alarm; Once a great program, now not so good.	Having used Zone Alarm since it was owned by a small company in San Francisco over 4 years ago I have seen the product decrease in it's ability to function severely over the years.  Apparently ever since an Israeli corporation took over things started to change.  Even for free I would run, not walk away from Zone Alarm ! I switched to Kapersky.    Hope my input helps	2008-08-19
US	52357509	R3FPVUHHJJTE6R	B003WT1KAK	419258587	iBank 4	Software	1	7	12	N	Y	Watch out	This program appeared to have all of the important features I was seeking in a serious home finance program, and I felt I had done my research by the time I made the purchase.  However, what they do not specifically state is that this program will NOT allow for automatic syncing with a Wells Fargo  account (and perhaps other checking accounts) as programs such as Quick Books do.  In other words, I have to manually connect the account to the program and request a download of all my recent transactions EACH TIME I use the program.  That basically rendered the program too sluggish to be usefull.  This was not made clear in the product's advertisement.  Buyer beware.	2011-02-03
US	47376655	R322C9FXXD7KQ0	B005IIUFYU	635264565	PrintMaster 18.1	Software	2	0	0	N	Y	printmaster	I can't figure out how to use it. I bought it to replace my &#34;Hallmark&#34; software so I can make my own cards with my own writing. I can't do that with this software. I have not been able to use it.	2014-02-22
US	3409277	R20REVZUBOE8KK	B000Q6ZK3K	388679672	Microsoft Works 9.0	Software	5	0	0	N	Y	Worked well, able to save my documents from previous ...	Worked well, able to save my documents from previous system.  Am just more familiar with 'Works' than 'Word' that's why I ordered it.  Thanks for having it available.	2015-05-02
US	5292227	R2IRH6S7WGYCUA	B008YTAGGW	536723695	Roxio Game Capture HD PRO	Software	4	0	0	N	Y	Good beginner buy	The Roxio game capture is great, the graphics for amazing, it was easy to use and very cheap. The reason I gave it 4 starts is because it is pretty buggy at times and usually when I hit record, and then stop capture, sometimes the video doesn't save. There are other bugs here and there that have to be fixed but other then that, this is an amazing PVR to start with if your just hitting Youtube Like I did.<br />P.S. remember to buy another HDMI cable if you don't have one already	2014-07-11
US	51401685	R4HJDHHQSFNNK	B000BHQ5UQ	740702994	Microsoft Visual Web Developer 2005 Express [Old Version]	Software	4	12	12	N	N	Best Web Development Program for 2006	Microsoft's Visual Web Developer 2005 Express is the best web development program available. I've been a long time Dreamweaver user and I can tell you that for the price, you can beat this program.<br /><br />VWD is very easy to set up and you can create good looking web pages in a matter of hours. Not only can you develop in HTML, XHTML and CSS, you also have access to the rich ASP.NET 2.0 enviroment and can create powerful dynamic web sites. If you are new to ASP.NET, it is easy to learn and Amazon has many good books available on ASP.NET 2.0.<br /><br />In ASP.NET 2.0, they have reduced coding by 70% and in VDW, most of this coding is done for you, making it a snap to set up the dynamic content of your website. VWD makes is easy to incorporate themes, XML and database functionality to your site as well.<br /><br />A word of note for newbie developers; you will need to have an ASP.NET 2.0 compatible host if you plan on deploying your sites.<br /><br />While Dreamweaver has a lot of excellent features and is still a great program, I have to give the edge to VWD for 2006. You can't go wrong with this program.	2006-01-05
US	16208657	R2W6B00J3WJYM4	B001O3066U	307680015	Scrabble Champion Edition JC	Software	5	0	0	N	Y	I like this version better than the earlier one that my ...	I had no trouble installing this game on my Windows 7 computer, nor when I upgraded to Windows 8.1. I like this version better than the earlier one that my mom had - the other version used to cheat - and use a Z...when another Z had been already played,...and not as a blank letter. This one seems fine and I like that is has play a regular game or a timed game. The only think I miss is that there is no chart that reminds you how many of each letters there are of each type. You know - like counting up the ts that have been used	2014-12-02
US	28751910	R2FK9UEZWI2Y1S	B000ZHMRTA	993462713	Monopoly Here & Now	Software	4	1	1	N	Y	monopoly here & now	I really like this game.  I play it every day.  The one thing I don't like is that I can't seem to get rid of saved games, even after I finish playing them and leave the game , when I re-enter it is still under saved games.	2011-05-06
US	51961591	RUVB62IQMPZP7	B00EOI2SR2	191236297	PaintShop Pro X6 Ultimate	Software	5	1	1	N	Y	Five Stars	Best feature of this version in my opinion is one click save of pictures for OpenOffice. SO HANDY!	2014-08-29
US	33334816	RVC66YCXRIBEN	B00006UNSQ	164909383	TurboTax Premier 2002	Software	1	15	20	N	N	Product does NOT work for me	some kind of internet registration new for this year is causing me to not be able to use the software I just bought.	2003-01-04
US	30913347	R3ECO1Q40PQYW4	B00LX4BYV6	104942969	Dragon Premium 13.0	Software	5	0	0	N	Y	Love This Product - Disabled Person's Lifesaver	As a disabled individual, Dragon is a lifesaver. Before Dragon (starting with Version 9), I used the Hunt & peck method to type papers. This was time consuming, frustrating, & inefficient. Now with Dragon, I can dictate that same paper in a couple hours.  Thank you Nuance. I recommend Dragon to anyone wanting to improve their efficiency - especially the disabled individual.	2015-02-27
US	39506863	R2978Q06MUQXJH	B00030EFF8	358246376	HIJAAK DIGITAL PHOTO STUDIO EXPRESS	Software	1	0	0	N	Y	Don't waste your money	The product description of system requirements includes mac, among others. It turns out that it only works with Windows, not mac.	2014-06-26
US	28918760	R1M5MZZCZ5O1TG	B00310UXQW	29633042	Fluenz Fluenz Version F2: Mandarin 1+2+3 (Win/Mac/iPhone)	Software	3	2	2	N	N	Good for Speaking, Not Good for Writing and Only 3 Disk for a Language that Requires More	Learning to speak using this program is easy. However, I'm upset that they used ZERO characters (Chinese writing). Everything is in Pinyin (Roman numerals for Western speaker) and that is NOT how people speak in Chinese. If you were to learn the writings in Pinyin, guess who would understand you? NO ONE! The tutor explained this also in the program but how hard would it have been if you guys added characters to this program? It's such an easy add that I can't believe you guys didn't do it. Also, like one of the reviews said, this isn't going to teach you everything. I'm looking at the other language Fluenz teach and there's like 5 disk. Mandarin only have 2 technically because the third disk isn't much. For one of the oldest cultures in the world, learning from only 2.5 disk is unacceptable especially for that price. Overall, I like it but no written characters and such a short amount of vocabulary compared to other languages is disappointing.	2014-10-24
US	13152487	RTD8PP8H9T1K9	B0018RCAD4	322803629	Microsoft Windows XP Professional Service Pack 3, 32-bit for System Builders - 1 Pack Old Version	Software	3	0	0	N	Y	It's Windows	I wanted to get XP for my Mac Book Pro so that I could run remote desktop with my work computer so that I could work at home. Installation on the Mac was no problem with Boot Camp.  I was able to activate it with no problem, but had problems getting automatic updates to start and validation.  I finally validated directly with Microsoft's website and all was good.  I can now remotely log on to my workstation through an Exchange Server.  It was a decent price and the setup works.  I am not overjoyed about having Windows on my Mac, but it does allow me to work from home.	2009-10-24
US	51667900	R38WBX1R7K6RZ3	B002JB3BC2	476716635	Anti-Virus & Anti-Spyware 1PC-2Yr	Software	5	3	3	N	Y	Great product	I've been using this software for less than 1 month and love it.  Programs open up much, much faster.  Email downloads faster.  Updates are invisible.  Even the computer boots up faster.  I am very, very pleased.    Previously, I used McAfee and before that Norton's.  McAfee was a huge resource hog .. updates really slowed down other operations running during the download, programs took a long time to open, the computer took at least twice as long to boot up .. the list goes on.  McAfee's customer service was horrible . . they provided bad information . . as if they had never even used the software.  I am sooo glad I switched.  I wouldn't go back to either Norton's or McAfee.	2010-03-30
US	29964167	RXFE7UNCPDQSE	B005CSF1JK	691287577	Webroot SecureAnywhere Complete [Old Version]	Software	5	2	4	N	N	I Love SecureAnywhere	Easiest product to use hands down! All security software makers should take note. Webroot is the only product that I will ever use again. It doesn't hog all the resources of your computer, & it doesn't  take over every aspect of your computer. It does what it's supposed to do..... protect you.	2011-11-17
US	15004548	RSZWNAE93R2B2	B000WPYZEA	357528769	H&R Block TaxCut 2007 Premium Federal + State + e-file [OLD VERSION]	Software	1	1	1	N	N	Very poor software if you're self-employed	This is my second year of using Tax Cut, and I faced with the same problem, which I think it is from a poor setup of this software. We can finish e-filing smoothly but you can't be guided for the estimate tax withheld. I had to go 1040-ES and State-ES to find how much I should pay and manually find the form. My wife asked why I changed from Turbo Tax, and I could answer, \\"It's cheaper.\\" She just laughed. Yes I was cheap and have to pay for being so.    Don't be like me, use Turbo Tax...	2008-04-09
US	21766809	R1TP7IZKWEAQQ2	B004F0CUPE	887388211	Dragon Dictate Student/Teacher Edition,  Version 2, Mac	Software	1	1	2	N	N	Please,Please,Please...	For the love of God... shorten your commercials.  Anytime I think I might need something like this, all I have to do is see your commercial and...nevermind.	2014-02-14
US	32520506	R3HUTEFD9E0GM1	089455686X	857104234	Editor In Chief: Level C2, Grades 9-12+	Software	2	2	3	N	Y	Difficult to use	This program is not at all what I expected.  It is not very user friendly.  Sure, my students can find the errors within the lessons, but then completing the process to correct those errors is very laborious.  Even I, the teacher, have difficulty with it.  First you highlight the error, then you have to go through several menus, submenus, and sub-submenus of different grammar topics to find the one which fixes the error.  If you like Editor-in-Chief, stick with the books.  This is one that will sit on the shelf and collect dust.	2013-09-03
US	38541184	R1YBL9UXZR1WQL	B00337D8U6	594602360	Microsoft Office 2010 Home & Student 3PC /1 User [OLD VERSION]	Software	1	2	6	N	N	DO NOT BUY this product unless your computer already has Office 2010 pre-installed on your computer.	If you have an older version of Microsoft Office (before Office 2010), even if you have a brand new computer, this key card WILL NOT WORK.  Microsoft will not permit you to download the software from their website onto your computer even though you have paid for the key card.  DO NOT BUY this product unless you have verified that you already have Microsoft Office 2010 on your computer.  That software, if you have it, probably came pre-installed for a limited trial period when you bought a new PC.	2011-03-02
US	13583327	RZ3DTSIIBDCM8	B004DTLWZ6	944793932	Kaspersky Pure 3-User [Old Version]	Software	5	0	1	N	Y	Very efficient!	I purchased the old version based on some reviews and because I don't like dealing with issues with new software.  Completely easy to install and doesn't drag on my computer like Trend Micro did.	2013-02-07
US	29117569	R2YIIECK64DGEJ	B001B5J7T8	114981360	Dragon NaturallySpeaking 10 Standard [OLD VERSION]	Software	2	2	6	N	N	I can't believe how well this product works!	wow I have only had this product for a day and a half. And I am very very impressed with it. The installation of the product(dragon) only took about 10 minutes to install. The voice recognition took about another 10 to fully understand my voice patterns. Actually it started understanding my voice within the first 1 to 2 seconds. I already sent out a ton of e-mails to friends and family. Telling them about this product. All of them are super impressed that for the most part I never even have to touch the keyboard. Most of them have seen my previous e-mails and no that I'm not the greatest typer in the world and misspell words quite a bit. They are impressed of how accurate this software is. For a person like me with a reading disability. This product I would have to say is the best product on the market for people with disabilities. I have dictated this entire review and Dragon has tight every word of it with few mistakes. Occasionally I will have to hit the backspace button and most of the time it is my dictation error that I have to correct. I would recommend this product to anyone that might not have the dexterity to type for long periods of time. Or people with reading disabilities that might not be able to spell very well like myself. This product is awesome. Oh yeah I also read a review before I bought this product that said the man or woman who installed the product on their PC said it had a rocky installation on Vista. I did not run into any problems that they indicated. This product is a dream come true for me.    Landon	2008-11-18
US	53078097	R117161D8L91B3	B000EXU9AY	854266949	Print Explosion Deluxe 3.0 (Mac) [Old Version]	Software	1	4	4	N	N	Not for Mac owners with Mac OS X Version 10.5	Please heed the warnings about this product.  Tech support reports that it is not compatible with Leopard (Mac OS X Version 10.5) and other than providing this information, they will not help or support Leopard users who had the misfortune to purchase this product.  Tech support will not treat you like a client or customer, despite your purchase; they will simply tell you it won't work.	2009-03-20
US	21270044	R39U7D7Q7HGR7B	B0062EPD8W	331176243	Soldier of Fortune II Double Helix (Windows 98/ME/2000/XP)	Software	4	0	0	N	Y	Recommend the purchase	Recommend  the purchase	2015-03-30
